,t,min_T,med_T,max_T
0,0,292.9209901,293.15,293.2546497
1,1,293.1500001,293.1500326,300.7436303
2,2,293.1500256,293.15157139999997,301.6699127
3,3,293.15059510000003,293.1600956,302.01572739999995
4,4,293.15164330000005,293.17432340000005,302.1807037
5,5,293.1542665,293.19386225,302.32358849999997
6,6,293.1631353,293.23655795,302.37756
7,7,293.1719829,293.2801012,302.4315314
8,8,293.18083060000004,293.32364440000003,302.4855029
9,9,293.18967819999995,293.36718765,302.5394744
10,10,293.2101485,293.4252877,302.57424280000004
11,11,293.24038039999994,293.49561385,302.59288260000005
12,12,293.27061230000004,293.56593999999996,302.6115224
13,13,293.3008443,293.63626615,302.6301622
14,14,293.3310762,293.7065923,302.648802
15,15,293.36130810000003,293.7769184499999,302.6674418
16,16,293.3915401,293.8472446,302.6860816
17,17,293.42177200000003,293.91757075,302.7047214
18,18,293.45200389999997,293.9878969,302.7233612
19,19,293.4873004,294.05851829999995,302.7392109
20,20,293.539315,294.13011415,302.74585079999997
21,21,293.5913296,294.2017101,302.75249069999995
22,22,293.6433442,294.27330605,302.75913060000005
23,23,293.6953588,294.34490189999997,302.7657704
24,24,293.74737339999996,294.41649785,302.7724103
25,25,293.79938799999996,294.4880938,302.7790502
26,26,293.85140260000003,294.55968970000004,302.78569
27,27,293.9034172,294.63128559999996,302.79232989999997
28,28,293.9554318,294.70288155,302.7989698
29,29,294.0074464,294.77447745000006,302.8056096
30,30,294.059461,294.84607335,302.8122495
31,31,294.1114756,294.9176693,302.8188894
32,32,294.16349019999996,294.9892652,302.8255292
33,33,294.2155048,295.0608611,302.8321691
34,34,294.26751939999997,295.132457,302.83880899999997
35,35,294.319387,295.20405295,302.8454488
36,36,294.3711934,295.27564889999996,302.8520887
37,37,294.4229998,295.34724475,302.8587286
38,38,294.4753246,295.40788805,302.8628847
39,39,294.52798010000004,295.4615435,302.8654562
40,40,294.58063549999997,295.51519895,302.8680278
41,41,294.63329100000004,295.56885439999996,302.87059930000004
42,42,294.6859465,295.62250985,302.8731708
43,43,294.738602,295.6761653,302.8757423
44,44,294.79125750000003,295.7298207,302.8783138
45,45,294.84391289999996,295.78347615000007,302.8808853
46,46,294.8965684,295.8371316,302.8834568
47,47,294.94922389999994,295.890787,302.8860284
48,48,295.00187939999995,295.94444245,302.8885999
49,49,295.05453489999996,295.9980979,302.89117139999996
50,50,295.1071903,296.0517533,302.89374289999995
51,51,295.1598458,296.10540875000004,302.8963144
52,52,295.21250130000004,296.1590642,302.8988859
53,53,295.2651568,296.2127196,302.90145739999997
54,54,295.3178123,296.26637504999997,302.904029
55,55,295.37046780000003,296.32003054999996,302.90660049999997
56,56,295.42312319999996,296.37368595,302.909172
57,57,295.4757787,296.42734140000005,302.9117435
58,58,295.5284342,296.48099685,302.914315
59,59,295.5810897,296.53465225,302.91688650000003
60,60,295.6337452,296.5883077,302.919458
61,61,295.6864006,296.64196315000004,302.92202960000003
62,62,295.7390561,296.69561855000006,302.9246011
63,63,295.79171160000004,296.749274,302.9271726
64,64,295.8443671,296.8029294500001,302.9297441
65,65,295.8970226,296.85658485,302.93231560000004
66,66,295.949678,296.9102403,302.9348871
67,67,296.0023335,296.96389575,302.9374586
68,68,296.05498900000003,297.01755119999996,302.94003010000006
69,69,296.1076445,297.07120665,302.9426017
70,70,296.1603,297.1248621,302.9451732
71,71,296.21295539999994,297.1785175,302.9477447
72,72,296.26561089999996,297.23217295,302.9503162
73,73,296.31826639999997,297.2858284,302.95288769999996
74,74,296.3709219,297.33948380000004,302.95545919999995
75,75,296.42012919999996,297.38781325,302.95761170000003
76,76,296.4633756,297.4269356,302.9590399
77,77,296.5066221,297.466058,302.960468
78,78,296.5498685,297.50518045,302.96189619999996
79,79,296.5931149,297.54430285,302.9633243
80,80,296.63636139999994,297.58342529999993,302.9647525
81,81,296.67960780000004,297.62254770000004,302.96618060000003
82,82,296.7228543,297.66167014999996,302.9676088
83,83,296.7661007,297.70079250000003,302.9690369
84,84,296.8093472,297.73991490000003,302.970465
85,85,296.85259360000003,297.77903735,302.9718932
86,86,296.8958401,297.81815974999995,302.9733213
87,87,296.93908650000003,297.8572822,302.97474950000003
88,88,296.982333,297.8964046,302.9761776
89,89,297.02557939999997,297.935527,302.9776058
90,90,297.0688259,297.97464940000003,302.9790339
91,91,297.1120723,298.0137718,302.9804621
92,92,297.15531880000003,298.05289425,302.98189019999995
93,93,297.19856519999996,298.09201665,302.9833184
94,94,297.24181160000006,298.13113910000004,302.98474649999997
95,95,297.2850581,298.1702615,302.9861747
96,96,297.3283045,298.20938385,302.9876028
97,97,297.37155099999995,298.24850630000003,302.989031
